buyDiffBps,sellDiffBps,Diff,DexSlip,CexSlip,netProfit,isProfitable,executedQtyDst,executedDstPrice,executedQtySrc,executedSrcPrice
0.28,0,0.28,0.23,-0.17,1.6056861294364957,1,2219.1400832177533,0.3606957014523678,2219.1400832177533,0.3599
0.3,0,0.3,0.19,-0.22,2.057357239028847,1,872.1247138340783,0.9178425857613537,872.1247138340783,0.9153
0.16,0,0.16,0.05,-0.17,0.27701351513044603,1,0.024165369282397146,4503.193882391473,0.024165369282397146,4490.83
0.21,0,0.21,0.05,-0.36,0.9932951949244775,1,57.8635700643,3.4484558493211965,57.8635700643,3.4306
0.14,0,0.14,0.05,0.08,-0.013161926992201693,0,54.476656128250184,2.9917,54.476656128250184,2.9913432667344737
0.28,0,0.28,0.16,0.47,-2.9898212025410715,0,2224.022312267863,0.3584,2224.022312267863,0.3596726505789016
0.28,0,0.28,0.18,0.19,-0.8894870497587567,0,8936.090871709252,0.089434,8936.090871709252,0.08951565192028929
0.2,0,0.2,0.13,0.86,-5.842409033874862,0,2007.816239870918,0.357561679793589,2007.816239870918,0.3604
0.45,0,0.45,0.17,0.17,0.16356388239301445,1,0.6406566973698238,284.46,0.6406566973698238,284.147801401217
0.11,0,0.11,0.07,0.15,-0.5521577303169669,0,1.4426848467317284,284.63,1.4426848467317284,284.9558032783783
0.22,0,0.22,0.09,-0.03,0.8418900303016552,1,2226.551628165878,0.359650043868633,2226.551628165878,0.3592
0.2,0,0.2,0.11,-0.17,0.5157907724767308,1,442.73181073584874,0.3604,442.73181073584874,0.35916290144933505
0.29,0,0.29,0.09,-0.17,3.46558411968507,1,2229.5957085970053,0.3604,2229.5957085970053,0.3587735646043907
0.2,0,0.2,0.12,-0.17,0.9461611904940717,1,854.2059271602383,0.3604,854.2059271602383,0.3592202700055314
0.22,0,0.22,0.69,-0.03,-1.1836705158544032,0,0.05634493978961421,4493.17,0.05634493978961421,4513.278940420598
0.16,0,0.16,0.63,-0.11,-0.7641927607848733,0,57.86342738165004,3.485,57.86342738165004,3.497509835394393
0.23,0,0.23,0.68,-0.02,-1.2046352160045253,0,0.22990756819782288,1158.91,0.22990756819782288,1163.91786811438
0.24,0,0.24,0.26,0.09,-0.5014250849996582,0,387.26861271293114,0.9655,387.26861271293114,0.9666016733654093
0.21,0,0.21,0.09,-0.37,3.7755685153378975,1,830.773397874426,0.9676,830.773397874426,0.9628618369902481
0.37,0,0.37,0.16,-0.23,3.3946615050196627,1,2277.424480091652,0.3528,2277.424480091652,0.35123886960581374
0.27,0,0.27,0.09,0.46,-2.3754562871904388,0,2292.6829268292686,0.34913372347049404,2292.6829268292686,0.3501
0.29,0,0.29,0.08,0.57,-0.34670659523874187,0,259.49591468851156,0.3492337694763207,259.49591468851156,0.3505
0.26,0,0.26,0.22,0.52,-3.939248022387783,0,2276.438341285446,0.3492912,2276.438341285446,0.3509517853002206
0.27,0,0.27,0.27,0.4,-1.5959932418078853,0,590.340097674124,0.6516,590.340097674124,0.6541731948859038
0.16,0,0.16,0.14,-0.35,2.8806756715077486,1,873.1204876484364,0.9185,873.1204876484364,0.9150170123160444
0.18,0,0.18,0.07,-0.02,0.8483912428783086,1,1441.2136536030341,0.5542995243549734,1441.2136536030341,0.5536
0.23,0,0.23,0.2,0.19,-0.5071943121676413,0,3180.1014384004698,0.08893200000000001,3180.1014384004698,0.08907370357916959
0.31,0,0.31,0.09,-0.11,0.3017774118101634,1,275.335908482242,0.35016606683089785,275.335908482242,0.349
0.35,0,0.35,0.09,-0.09,2.6125265751144022,1,2290.294875465216,0.3502107365631719,2290.294875465216,0.349
0.48,0,0.48,0,0.28,0.07918345492246545,1,95.06575947329999,0.6503630060923216,95.06575947329999,0.6494
0.07,0,0.07,0.03,0.18,-0.4172187632127587,0,0.9599546571840474,284.28,0.9599546571840474,284.6577674065228
0.14,0,0.14,0.04,-0.28,0.44380408540648064,1,349.2598413864417,0.3534,349.2598413864417,0.352058621131087
0.24,0,0.24,0.21,-0.37,2.753465884820811,1,2044.2991050289932,0.3534,2044.2991050289932,0.35198242028358995
0.15,0,0.15,0.05,-0.28,0.30734463252575045,1,236.7297887549282,0.35309999999999997,236.7297887549282,0.3517310869793277
0.32,0,0.32,0.17,-0.37,4.061408852676868,1,2274.5458433308777,0.3531,2274.5458433308777,0.3512437888831689
0.16,0,0.16,0.15,0.05,-0.4856708496562273,0,1439.1210374639766,0.5552735772990278,1439.1210374639766,0.5555
0.14,0,0.14,0.04,0.16,-0.153777197095041,0,24.173281012820226,8.033,24.173281012820226,8.037754853251359
0.42,0,0.42,0.27,0,1.010928315544488,1,1220.6286237412269,0.6563594749174934,1220.6286237412269,0.6554
0.31,0,0.31,0.03,0.06,1.6351943160250995,1,11985.018726591758,0.06693982449064148,11985.018726591758,0.06679
0.11,0,0.11,0.05,0.13,-0.19265002292231878,0,0.8138290755633529,285,0.8138290755633529,285.17972049660915
0.19,0,0.19,0.13,0.25,-1.677625672311093,0,866.3216739785553,0.9216,866.3216739785553,0.9233521727863419
0.08,0,0.08,0.03,0,0.08845528818512127,1,1.0478359354191698,285.74,1.0478359354191698,285.59843488354585
0.42,0,0.42,0.37,0.23,-0.6132302690256166,0,339.16047489143335,0.9604840138614393,339.16047489143335,0.9621000000000001
0.25,0,0.25,0.04,-0.18,0.32673944015611733,1,0.0828747117,1177.0779866597677,0.0828747117,1172.9
0.21,0,0.21,0.22,0.07,-0.5446521291583254,0,715.2233209575382,0.5597,715.2233209575382,0.5603495733807845
