buyDiffBps,sellDiffBps,Diff,DexSlip,CexSlip,netProfit,isProfitable,executedQtyDst,executedDstPrice,executedQtySrc,executedSrcPrice
0.18,0,0.18,0.08,0.13,-0.21534527763134292,0,115.58075544712753,3.3774999999999995,115.58075544712753,3.3786876585924337
0.11,0,0.11,0.05,0.15,-0.7336092089222609,0,2.4792865587213266,280.28,2.4792865587213266,280.51983928743323
0.18,0,0.18,0.07,0.17,-0.1665081220616873,0,58.673951191024656,3.3801999999999994,58.673951191024656,3.382361814255282
0.13,0,0.13,0.06,0.29,-0.6916347509509602,0,85.40008118629119,3.3751,85.40008118629119,3.382523739876378
0.12,0,0.12,0.04,0.29,-0.3124568013108583,0,39.24911909300841,3.3751127999999997,39.24911909300841,3.382398638945462
0.11,0,0.11,0.04,0.18,-0.329530050850752,0,70.25557884967294,3.3749,70.25557884967294,3.378915466740975
0.13,0,0.13,0.05,0.09,-0.04740638547444144,0,43.252153188209306,3.3778000000000006,43.252153188209306,3.3782204868318924
0.18,0,0.18,0.08,0.01,0.4385215000636271,1,2.4381746227416685,280.6259816741988,2.4381746227416685,280.39
0.25,0,0.25,0.06,0.3,-0.42609270409100497,0,272.3277005465471,0.6072,272.3277005465471,0.608643192254581
0.21,0,0.21,0.1,0.17,-0.13558998261441804,0,78.64653249479157,3.3803000000000005,78.64653249479157,3.3813479827303445
0.14,0,0.14,0.07,0.15,-0.48562811991647237,0,1.9601191740986121,280.84,1.9601191740986121,281.0315863846995
0.52,0,0.52,0.1,0.18,0.98968376587529,1,519.0137624330999,0.6100288603441628,519.0137624330999,0.608
0.32,0,0.32,0.14,-0.29,1.4896706590814057,1,98.64287569535381,3.3779772502688172,98.64287569535381,3.3622
0.35,0,0.35,0.07,-0.24,1.3766450597752402,1,77.35023050801573,3.37747305061912,77.35023050801573,3.3589999999999995
0.19,0,0.19,0.06,-0.02,0.9852637822688449,1,2.618313047408272,280.812459659012,2.618313047408272,280.38
