id,timestamp,name,buy,sell
149,2025-09-24T19:24:04.170Z,virtual,0.11,0.22
150,2025-09-24T19:24:04.170Z,avnt,0.16,0.18
151,2025-09-24T19:24:04.170Z,bio,0.21,0.16
152,2025-09-24T19:24:04.170Z,zro,0.11,0.22
153,2025-09-24T19:26:04.028Z,cake,0.18,0.15
154,2025-09-24T19:26:04.028Z,aave,0.19,0.14
155,2025-09-24T19:26:04.028Z,eth,0.06,0.22
156,2025-09-24T19:26:04.028Z,btc,0.06,0.22
157,2025-09-24T19:26:04.028Z,virtual,0.11,0.22
158,2025-09-24T19:26:04.028Z,avnt,0.16,0.18
159,2025-09-24T19:26:04.028Z,bio,0.21,0.16
160,2025-09-24T19:26:04.028Z,zro,0.11,0.22
161,2025-09-24T19:28:04.360Z,cake,0.18,0.15
162,2025-09-24T19:28:04.360Z,aave,0.19,0.14
163,2025-09-24T19:28:04.360Z,eth,0.06,0.22
164,2025-09-24T19:28:04.360Z,btc,0.06,0.22
165,2025-09-24T19:28:04.360Z,virtual,0.11,0.22
166,2025-09-24T19:28:04.360Z,avnt,0.16,0.18
167,2025-09-24T19:28:04.360Z,bio,0.21,0.16
168,2025-09-24T19:28:04.360Z,zro,0.11,0.22
169,2025-09-24T19:30:04.535Z,cake,0.18,0.15
170,2025-09-24T19:30:04.535Z,aave,0.19,0.14
171,2025-09-24T19:30:04.535Z,eth,0.06,0.22
172,2025-09-24T19:30:04.535Z,btc,0.06,0.22
173,2025-09-24T19:30:04.535Z,virtual,0.11,0.22
174,2025-09-24T19:30:04.535Z,avnt,0.16,0.17
175,2025-09-24T19:30:04.535Z,bio,0.21,0.16
176,2025-09-24T19:30:04.535Z,zro,0.11,0.22
177,2025-09-24T19:32:04.461Z,cake,0.18,0.15
178,2025-09-24T19:32:04.461Z,aave,0.19,0.14
179,2025-09-24T19:32:04.461Z,eth,0.06,0.22
180,2025-09-24T19:32:04.461Z,btc,0.06,0.22
181,2025-09-24T19:32:04.461Z,virtual,0.11,0.22
182,2025-09-24T19:32:04.461Z,avnt,0.16,0.17
183,2025-09-24T19:32:04.461Z,bio,0.21,0.16
184,2025-09-24T19:32:04.461Z,zro,0.11,0.22
185,2025-09-24T19:34:04.628Z,cake,0.18,0.15
186,2025-09-24T19:34:04.628Z,aave,0.19,0.14
187,2025-09-24T19:34:04.628Z,eth,0.06,0.22
188,2025-09-24T19:34:04.628Z,btc,0.06,0.22
189,2025-09-24T19:34:04.628Z,virtual,0.11,0.22
190,2025-09-24T19:34:04.628Z,avnt,0.16,0.17
191,2025-09-24T19:34:04.628Z,bio,0.21,0.16
192,2025-09-24T19:34:04.628Z,zro,0.11,0.22
193,2025-09-24T19:36:04.265Z,cake,0.18,0.15
194,2025-09-24T19:36:04.265Z,aave,0.19,0.14
195,2025-09-24T19:36:04.265Z,eth,0.06,0.22
196,2025-09-24T19:36:04.265Z,btc,0.06,0.22
197,2025-09-24T19:36:04.265Z,virtual,0.11,0.22
198,2025-09-24T19:36:04.265Z,avnt,0.16,0.17
199,2025-09-24T19:36:04.265Z,bio,0.21,0.16
200,2025-09-24T19:36:04.265Z,zro,0.11,0.22
201,2025-09-24T19:38:04.437Z,cake,0.18,0.15
202,2025-09-24T19:38:04.437Z,aave,0.19,0.14
203,2025-09-24T19:38:04.437Z,eth,0.06,0.22
204,2025-09-24T19:38:04.437Z,btc,0.06,0.22
205,2025-09-24T19:38:04.437Z,virtual,0.11,0.22
206,2025-09-24T19:38:04.437Z,avnt,0.16,0.17
207,2025-09-24T19:38:04.437Z,bio,0.21,0.16
208,2025-09-24T19:38:04.437Z,zro,0.11,0.22
209,2025-09-24T19:40:04.288Z,cake,0.18,0.15
210,2025-09-24T19:40:04.288Z,aave,0.19,0.14
211,2025-09-24T19:40:04.288Z,eth,0.06,0.22
212,2025-09-24T19:40:04.288Z,btc,0.06,0.22
213,2025-09-24T19:40:04.288Z,virtual,0.11,0.22
214,2025-09-24T19:40:04.288Z,avnt,0.16,0.17
215,2025-09-24T19:40:04.288Z,bio,0.16,0.2
216,2025-09-24T19:40:04.288Z,zro,0.11,0.22
217,2025-09-24T19:42:04.302Z,cake,0.18,0.15
218,2025-09-24T19:42:04.302Z,aave,0.19,0.14
219,2025-09-24T19:42:04.302Z,eth,0.06,0.22
220,2025-09-24T19:42:04.302Z,btc,0.06,0.22
221,2025-09-24T19:42:04.302Z,virtual,0.11,0.22
222,2025-09-24T19:42:04.302Z,avnt,0.16,0.17
223,2025-09-24T19:42:04.302Z,bio,0.16,0.2
224,2025-09-24T19:42:04.302Z,zro,0.11,0.22
225,2025-09-24T19:44:04.272Z,cake,0.18,0.15
