id,pair,buyDiffBps,sellDiffBps,Diff,DexSlip,CexSlip,netProfit,isProfitable,executedQtyDst,executedDstPrice,executedQtySrc,executedSrcPrice,trade_ts,label_regression,label_class
1758646871074,"P3_2500_cake/eth->P3_100_eth/usdt",0.18,0,0.18,0.02,-0.21,0.18082431082842912,1,18.831953477673498,2.7973614666399476,18.831953477673498,2.7872,2025-09-23T17:01:11.074Z,0.18082431082842912,1
1758646870507,"P3_2500_cake/usdc",0.15,0,0.15,0.07,-0.34,1.2802960772245975,1,114.6193711567976,2.797329445834993,114.6193711567976,2.7856,2025-09-23T17:01:10.507Z,1.2802960772245975,1
1758646601389,"U3_3000_aave/usdc",0.21,0,0.21,0.07,0.01,0.1299382809278879,1,0.4356962935314033,279.9,0.4356962935314033,279.5457886795664,2025-09-23T16:56:41.389Z,0.1299382809278879,1
1758646601352,"P3_500_aave/usdc",0.23,0,0.23,0.1,0.01,0.39935973578511713,1,1.613851590381617,279.9,1.613851590381617,279.5965624653882,2025-09-23T16:56:41.352Z,0.39935973578511713,1
1758646581354,"P3_2500_cake/usdc",0.15,0,0.15,0.11,-0.26,0.6484623728858556,1,86.02245474315549,2.803899071703616,86.02245474315549,2.7958,2025-09-23T16:56:21.354Z,0.6484623728858556,1
1758646426135,"P3_500_aave/usdc",0.22,0,0.22,0.1,-0.29,1.6788089719337096,1,1.5604577163761397,280.11,1.5604577163761397,278.97813406375263,2025-09-23T16:53:46.135Z,1.6788089719337096,1
1758646362878,"P3_500_aero/usdc->P3_500_aero/eth",0,0,0,0,0,-0.0003072823681402641,0,0.000187029522104058,4201.32,0.000187029522104058,4202.122697841977,2025-09-23T16:52:42.878Z,-0.0003072823681402641,0
1758646231635,"P3_500_aave/eth->A3_80_eth/usdc",0.1,0,0.1,0.04,0.09,-0.3581274346441726,0,2.2001879379665645,278.51293129365035,2.2001879379665645,278.62,2025-09-23T16:50:31.635Z,-0.3581274346441726,0
1758646229660,"P3_500_aave/usdc",0.14,0,0.14,0.06,0.11,-0.13663165718119205,0,0.9793842396690752,278.58620952711175,0.9793842396690752,278.67,2025-09-23T16:50:29.660Z,-0.13663165718119205,0
1758646222807,"U3_500_eth/usdc->P3_500_aave/eth",0.14,0,0.14,0.05,-0.13,1.435972978781693,1,2.6251902918849757,278.65,2.6251902918849757,278.0472723277853,2025-09-23T16:50:22.807Z,1.435972978781693,1
1758646222109,"P3_500_aave/usdc",0.19,0,0.19,0.13,-0.2,0.7583600774176311,1,1.089444438092219,278.58,1.089444438092219,277.8281860156497,2025-09-23T16:50:22.109Z,0.7583600774176311,1
1758645960254,"P3_500_aave/eth->U3_100_eth/usdc",0.11,0,0.11,0.08,0.12,-0.6943750969878252,0,2.243318833832574,277.07588490133884,2.243318833832574,277.33,2025-09-23T16:46:00.254Z,-0.6943750969878252,0
1758645934209,"P3_500_aave/usdc",0.14,0,0.14,0.06,0.1,-0.08052327347004534,0,0.7515197337206798,277.22829840877534,0.7515197337206798,277.28,2025-09-23T16:45:34.209Z,-0.08052327347004534,0
1758645669909,"A3_80_eth/usdc->P3_500_aave/eth",0.19,0,0.19,0.07,0.19,-0.5894323638893284,0,2.6238305680183527,277.26,2.6238305680183527,277.42919374163966,2025-09-23T16:41:09.909Z,-0.5894323638893284,0
1758645509496,"P3_100_btc/usdc->P3_2500_cake/btc",0.25,0,0.25,0.05,-0.27,0.22758782540067463,1,17.983429813169074,2.7876,17.983429813169074,2.7743870617752733,2025-09-23T16:38:29.496Z,0.22758782540067463,1
1758645397375,"A3_80_eth/usdc->P3_2500_cake/eth",0.2,0,0.2,0.06,0.01,0.20067176636271572,1,109.62999052304069,2.7736,109.62999052304069,2.7712148341028024,2025-09-23T16:36:37.375Z,0.20067176636271572,1
1758645395298,"P3_2500_cake/usdc",0.15,0,0.15,0.07,0.1,-0.19769507540972575,0,187.40425566090514,2.7732505,187.40425566090514,2.7737507623122744,2025-09-23T16:36:35.298Z,-0.19769507540972575,0
1758645395282,"A3_80_eth/usdc->P3_10000_cake/eth",0.15,0,0.15,0.06,0.19,-0.3590158322760785,0,107.17143867930619,2.7707,107.17143867930619,2.7734957808063294,2025-09-23T16:36:35.282Z,-0.3590158322760785,0
1758645307807,"P3_500_aave/usdc",0.11,0,0.11,0.05,-0.19,0.5538707204206526,1,0.8260775305626057,278.32614796266415,0.8260775305626057,277.6,2025-09-23T16:35:07.807Z,0.5538707204206526,1
1758645307031,"P3_500_aave/eth->A3_80_eth/usdc",0.14,0,0.14,0.08,-0.19,1.7415538022716361,1,2.624577550873661,278.31921969950685,2.624577550873661,277.6,2025-09-23T16:35:07.031Z,1.7415538022716361,1
1758645201671,"P3_2500_cake/usdc",0.14,0,0.14,0.11,0.05,-0.19859244331277415,0,181.01327448018597,2.7569542754977694,181.01327448018597,2.7575,2025-09-23T16:33:21.671Z,-0.19859244331277415,0
1758645153223,"P3_500_aave/usdc",0.13,0,0.13,0.06,-0.32,0.9806443052625007,1,0.9401581624308732,278.66879687837996,0.9401581624308732,277.57,2025-09-23T16:32:33.223Z,0.9806443052625007,1
1758645067925,"P3_500_aave/usdc",0.23,0,0.23,0.12,0.52,-2.0340871938483285,0,1.8083904065664458,278.01,1.8083904065664458,279.0792033442787,2025-09-23T16:31:07.925Z,-2.0340871938483285,0
1758645065974,"A3_80_eth/usdc->P3_500_aave/eth",0.18,0,0.18,0.05,0.53,-3.0229081646889844,0,2.6151919058151076,278.01,2.6151919058151076,279.1103009981575,2025-09-23T16:31:05.974Z,-3.0229081646889844,0
1758645048762,"P3_500_aave/usdc",0.11,0,0.11,0.06,-0.29,0.9099186832504995,1,0.9437315268641916,279.21001312263996,0.9437315268641916,278.19,2025-09-23T16:30:48.762Z,0.9099186832504995,1
1758644704869,"U4_3000_aave/usdc",0.25,0,0.25,0.06,0.5,-0.23435410567843673,0,0.25897228367029884,278.19,0.25897228367029884,279.0393009469677,2025-09-23T16:25:04.869Z,-0.23435410567843673,0
1758644699136,"P3_500_aave/eth->A3_80_eth/usdc",0.12,0,0.12,0.05,-0.27,2.3204106516978227,1,2.620917141730307,279.1011632351984,2.620917141730307,278.16,2025-09-23T16:24:59.136Z,2.3204106516978227,1
